id,name,parkName,lat,lng,lga,tourismRegion,googleQuery,googleQueryUrl,,
mount-beckworth-s-r-manna-gums-picnic-area-mount-beckworth-s-r,"Manna Gums Picnic Area, Mount Beckworth S.R.",Mount Beckworth S.R.,-37.316106,143.7204668,HEPBURN SHIRE,Daylesford and Macedon Ranges,"Manna Gums Picnic Area, Mount Beckworth S.R. Mount Beckworth S.R. site:parks.vic.gov.au/places-to-see",,,
mount-beckworth-s-r-the-cork-oaks-picnic-area-mount-beckworth-s-r,"The Cork Oaks Picnic Area, Mount Beckworth S.R.",Mount Beckworth S.R.,-37.31099004,143.7082229,HEPBURN SHIRE,Daylesford and Macedon Ranges,"The Cork Oaks Picnic Area, Mount Beckworth S.R. Mount Beckworth S.R. site:parks.vic.gov.au/places-to-see",,,
mount-beckworth-s-r-the-dam-picnic-area-mount-beckworth-s-r,"The Dam Picnic Area, Mount Beckworth S.R.",Mount Beckworth S.R.,-37.30534398,143.724919,HEPBURN SHIRE,Daylesford and Macedon Ranges,"The Dam Picnic Area, Mount Beckworth S.R. Mount Beckworth S.R. site:parks.vic.gov.au/places-to-see",,,
mount-difficult-plantation-campground-plantation-campground-mount-difficult-plantation-campground,"Plantation Campground, Mount Difficult Plantation Campground",Mount Difficult Plantation Campground,-37.05907401,142.5149579,NORTHERN GRAMPIANS SHIRE,Grampians,"Plantation Campground, Mount Difficult Plantation Campground Mount Difficult Plantation Campground site:parks.vic.gov.au/places-to-see",https://www.parks.vic.gov.au/places-to-see/sites/plantation-campground,,
mount-eccles-national-park-mt-eccles-mount-eccles-national-park,"Mt Eccles, Mount Eccles National Park",Mount Eccles National Park,-38.05892496,141.923012,MOYNE SHIRE,Great Ocean Road,"Mt Eccles, Mount Eccles National Park Mount Eccles National Park site:parks.vic.gov.au/places-to-see",,,
mount-lawson-state-park-mt-lawson-summit-mount-lawson-state-park,"Mt Lawson Summit, Mount Lawson State Park",Mount Lawson State Park,-36.05362044,147.4513314,TOWONG SHIRE,High Country,"Mt Lawson Summit, Mount Lawson State Park Mount Lawson State Park site:parks.vic.gov.au/places-to-see",,,
mount-mitta-mitta-r-p-embry-lookout-mount-mitta-mitta-r-p,"Embry Lookout, Mount Mitta Mitta R.P",Mount Mitta Mitta R.P,-36.14796511,147.8815024,TOWONG SHIRE,High Country,"Embry Lookout, Mount Mitta Mitta R.P Mount Mitta Mitta R.P site:parks.vic.gov.au/places-to-see",,,
mount-samaria-state-park-camphora-campsite-mount-samaria-state-park,"Camphora Campsite, Mount Samaria State Park",Mount Samaria State Park,-36.88486398,146.086051,MANSFIELD SHIRE,High Country,"Camphora Campsite, Mount Samaria State Park Mount Samaria State Park site:parks.vic.gov.au/places-to-see",,,
mount-samaria-state-park-samaria-well-mount-samaria-state-park,"Samaria Well, Mount Samaria State Park",Mount Samaria State Park,-36.82487799,146.0634199,BENALLA RURAL CITY,High Country,"Samaria Well, Mount Samaria State Park Mount Samaria State Park site:parks.vic.gov.au/places-to-see",https://www.parks.vic.gov.au/places-to-see/sites/plantation-campground,,
mount-wills-h-a-big-river-camp-area-mount-wills-h-a,"Big River Camp Area, Mount Wills H.A",Mount Wills H.A,-36.893997,147.4623022,EAST GIPPSLAND SHIRE,Gippsland,"Big River Camp Area, Mount Wills H.A Mount Wills H.A site:parks.vic.gov.au/places-to-see",https://www.parks.vic.gov.au/places-to-see/sites/big-river-camping-area,,
pheasant-creek-f-r-pikes-dam-pheasant-creek-f-r,"Pikes Dam, Pheasant Creek F.R.",Pheasant Creek F.R.,-36.12927798,147.5925709,TOWONG SHIRE,High Country,"Pikes Dam, Pheasant Creek F.R. Pheasant Creek F.R. site:parks.vic.gov.au/places-to-see",,,
port-campbell-national-park-sherbrook-guide-camp-port-campbell-national-park,"Sherbrook Guide Camp, Port Campbell National Park",Port Campbell National Park,-38.63802457,143.0635625,CORANGAMITE SHIRE,Great Ocean Road,"Sherbrook Guide Camp, Port Campbell National Park Port Campbell National Park site:parks.vic.gov.au/places-to-see",,,
port-campbell-recreation-and-camping-reserve-port-campbell-precinct-port-campbell-coastal-reserve,"Port Campbell precinct, Port Campbell Coastal Reserve",Port Campbell Recreation and Camping Reserve,-38.618028,142.9945711,CORANGAMITE SHIRE,Great Ocean Road,"Port Campbell precinct, Port Campbell Coastal Reserve Port Campbell Recreation and Camping Reserve site:parks.vic.gov.au/places-to-see",,,
proposed-murray-river-park-part-horse-shoe-bend-cobram-r-p,"Horse-shoe Bend, Cobram R.P",Proposed Murray River Park (part),-35.95158723,145.7182241,MOIRA SHIRE,Murray,"Horse-shoe Bend, Cobram R.P Proposed Murray River Park (part) site:parks.vic.gov.au/places-to-see",,,
river-murray-reserve-bourkes-bend-proposed-murray-river-park-part,"Bourkes Bend, Proposed Murray River Park (part)",River Murray Reserve,-35.97675148,145.8351858,,,"Bourkes Bend, Proposed Murray River Park (part) River Murray Reserve site:parks.vic.gov.au/places-to-see",,,
river-murray-reserve-bourkes-bend-proposed-murray-river-park-part-2,"Bourkes Bend, Proposed Murray River Park (part)",River Murray Reserve,-35.98297001,145.8056334,MOIRA SHIRE,Murray,"Bourkes Bend, Proposed Murray River Park (part) River Murray Reserve site:parks.vic.gov.au/places-to-see",,,
river-murray-reserve-bruces-bend-yarrawonga-r-p,"Bruces Bend, Yarrawonga R.P",River Murray Reserve,-35.96475112,145.9149091,,Murray,"Bruces Bend, Yarrawonga R.P River Murray Reserve site:parks.vic.gov.au/places-to-see",,,
river-murray-reserve-bruces-bend-yarrawonga-r-p-2,"Bruces Bend, Yarrawonga R.P",River Murray Reserve,-35.963397,145.9067656,,Murray,"Bruces Bend, Yarrawonga R.P River Murray Reserve site:parks.vic.gov.au/places-to-see",,,
river-murray-reserve-bruces-bend-yarrawonga-r-p-3,"Bruces Bend, Yarrawonga R.P",River Murray Reserve,-35.96476975,145.9149753,,Murray,"Bruces Bend, Yarrawonga R.P River Murray Reserve site:parks.vic.gov.au/places-to-see",,,
river-murray-reserve-burrowye-reserve-campground-river-murray-reserve,"Burrowye Reserve Campground, River Murray Reserve",River Murray Reserve,-35.98714112,147.5257778,TOWONG SHIRE,High Country,"Burrowye Reserve Campground, River Murray Reserve River Murray Reserve site:parks.vic.gov.au/places-to-see",,,
river-murray-reserve-clarkes-lagoon-visitor-area-river-murray-reserve,"Clarkes Lagoon Visitor Area, River Murray Reserve",River Murray Reserve,-36.02393522,147.9145235,TOWONG SHIRE,High Country,"Clarkes Lagoon Visitor Area, River Murray Reserve River Murray Reserve site:parks.vic.gov.au/places-to-see",,,
river-murray-reserve-cobrawonga-island-river-murray-reserve,"Cobrawonga Island, River Murray Reserve",River Murray Reserve,-35.96381707,145.7677628,,,"Cobrawonga Island, River Murray Reserve River Murray Reserve site:parks.vic.gov.au/places-to-see",https://www.parks.vic.gov.au/places-to-see/sites/cobrawonga-creek-camping-area,,
river-murray-reserve-indigo-falls-baranduda-r-p,"Indigo Falls, Baranduda R.P.",River Murray Reserve,-36.23320356,148.0337402,TOWONG SHIRE,High Country,"Indigo Falls, Baranduda R.P. River Murray Reserve site:parks.vic.gov.au/places-to-see",,,
